Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+
Breaking Bad;2008;18+;9,4;100;Tem;Não tem;Não tem;Não tem
Stranger Things;2016;16+;8,7;96;Tem;Não tem;Não tem;Não tem
Attack on Titan;2013;18+;9;95;Tem;Tem;Não tem;Não tem
Better Call Saul;2015;18+;8,8;94;Tem;Não tem;Não tem;Não tem
Dark;2017;16+;8,8;93;Tem;Não tem;Não tem;Não tem
Avatar: The Last Airbender;2005;7+;9,3;93;Tem;Não tem;Tem;Não tem
Peaky Blinders;2013;18+;8,8;93;Tem;Não tem;Não tem;Não tem
The Walking Dead;2010;18+;8,2;93;Tem;Não tem;Não tem;Não tem
Black Mirror;2011;18+;8,8;92;Tem;Não tem;Não tem;Não tem
The Queen's Gambit;2020;18+;8,6;92;Tem;Não tem;Não tem;Não tem
Mindhunter;2017;18+;8,6;90;Tem;Não tem;Não tem;Não tem
Community;2009;7+;8,5;90;Tem;Tem;Tem;Não tem
Narcos;2015;18+;8,8;90;Tem;Não tem;Não tem;Não tem
Shameless;2011;18+;8,5;90;Tem;Tem;Tem;Não tem
Money Heist;2017;18+;8,3;90;Tem;Não tem;Não tem;Não tem
Marvel's Daredevil;2015;18+;8,6;90;Tem;Não tem;Não tem;Não tem
Lucifer;2016;16+;8,1;90;Tem;Não tem;Não tem;Não tem
Supernatural;2005;16+;8,4;89;Tem;Não tem;Não tem;Não tem
The Witcher;2019;18+;8,2;89;Tem;Não tem;Não tem;Não tem
Ozark;2017;18+;8,4;89;Tem;Não tem;Não tem;Não tem
The Crown;2016;18+;8,6;89;Tem;Não tem;Não tem;Não tem
Cobra Kai;2018;16+;8,6;89;Tem;Não tem;Não tem;Não tem
The Blacklist;2013;16+;8;88;Tem;Não tem;Não tem;Não tem
The Flash;2014;16+;7,6;88;Tem;Não tem;Não tem;Não tem
Outlander;2014;18+;8,4;88;Tem;Não tem;Não tem;Não tem
Fullmetal Alchemist: Brotherhood;2009;16+;9,1;88;Tem;Tem;Não tem;Não tem
The Good Place;2016;16+;8,2;88;Tem;Não tem;Não tem;Não tem
House of Cards;2013;18+;8,7;88;Tem;Não tem;Não tem;Não tem
Atypical;2017;16+;8,3;88;Tem;Não tem;Não tem;Não tem
Grey's Anatomy;2005;16+;7,5;87;Tem;Tem;Não tem;Não tem
Arrested Development;2003;16+;8,7;87;Tem;Tem;Não tem;Não tem
Lupin;2021;18+;7,5;87;Tem;Não tem;Não tem;Não tem
The Umbrella Academy;2019;16+;8;87;Tem;Não tem;Não tem;Não tem
Orange Is the New Black;2013;18+;8;87;Tem;Não tem;Não tem;Não tem
The Vampire Diaries;2009;16+;7,7;86;Tem;Não tem;Não tem;Não tem
Demon Slayer: Kimetsu no Yaiba;2019;18+;8,7;86;Tem;Tem;Não tem;Não tem
The Last Dance;2020;16+;9,1;86;Tem;Não tem;Não tem;Não tem
American Horror Story;2011;18+;8;86;Tem;Tem;Tem;Não tem
Elite;2018;18+;7,5;86;Tem;Não tem;Não tem;Não tem
BoJack Horseman;2014;18+;8,7;86;Tem;Não tem;Não tem;Não tem
Star Trek: The Next Generation;1987;7+;8,6;86;Tem;Tem;Tem;Não tem
Broadchurch;2013;18+;8,4;86;Tem;Não tem;Não tem;Não tem
The IT Crowd;2006;16+;8,5;86;Tem;Não tem;Não tem;Não tem
When They See Us;2019;18+;8,9;86;Tem;Não tem;Não tem;Não tem
Love, Death & Robots;2019;18+;8,5;86;Tem;Não tem;Não tem;Não tem
Schitt's Creek;2015;16+;8,5;86;Tem;Não tem;Não tem;Não tem
Marvel's Agents of S.H.I.E.L.D.;2013;16+;7,5;86;Tem;Não tem;Não tem;Não tem
Never Have I Ever;2020;16+;7,9;86;Tem;Não tem;Não tem;Não tem
The 100;2014;16+;7,6;86;Tem;Não tem;Não tem;Não tem
American Crime Story;2016;18+;8,4;85;Tem;Não tem;Não tem;Não tem
The Last Kingdom;2015;18+;8,4;85;Tem;Não tem;Não tem;Não tem
The End of the F***ing World;2017;18+;8,1;85;Tem;Não tem;Não tem;Não tem
New Girl;2011;16+;7,7;85;Tem;Não tem;Não tem;Não tem
Penny Dreadful;2014;18+;8,2;85;Tem;Não tem;Tem;Não tem
One Piece;1999;7+;8,8;85;Tem;Tem;Não tem;Não tem
Marvel's The Punisher;2017;18+;8,5;85;Tem;Não tem;Não tem;Não tem
Evil;2019;18+;7,7;85;Tem;Não tem;Não tem;Não tem
YOU;2018;18+;7,7;85;Tem;Não tem;Não tem;Não tem
Sense8;2015;18+;8,3;84;Tem;Não tem;Não tem;Não tem
Making a Murderer;2015;16+;8,6;84;Tem;Não tem;Não tem;Não tem
Unbelievable;2019;18+;8,4;84;Tem;Não tem;Não tem;Não tem
Arrow;2012;16+;7,5;84;Tem;Não tem;Não tem;Não tem
Sex Education;2019;18+;8,3;84;Tem;Não tem;Não tem;Não tem
Marvel's Jessica Jones;2015;18+;7,9;84;Tem;Não tem;Não tem;Não tem
Sweet Tooth;2021;16+;7,9;84;Tem;Não tem;Não tem;Não tem
Good Girls;2018;16+;7,8;84;Tem;Tem;Não tem;Não tem
Death Note;2006;16+;9;84;Tem;Tem;Não tem;Não tem
Gilmore Girls;2000;16+;8,1;84;Tem;Não tem;Não tem;Não tem
The Legend of Korra;2012;7+;8,4;83;Tem;Não tem;Não tem;Não tem
How to Get Away with Murder;2014;16+;8,1;83;Tem;Tem;Não tem;Não tem
Master of None;2015;18+;8,3;83;Tem;Não tem;Não tem;Não tem
Chappelle's Show;2003;18+;8,7;83;Tem;Não tem;Não tem;Não tem
One-Punch Man;2015;7+;8,8;83;Tem;Tem;Não tem;Não tem
Downton Abbey;2010;16+;8,7;83;Tem;Não tem;Tem;Não tem
Gotham;2014;16+;7,8;83;Tem;Não tem;Não tem;Não tem
Pose;2018;18+;8,6;83;Tem;Não tem;Não tem;Não tem
Bodyguard;2018;18+;8,1;83;Tem;Não tem;Não tem;Não tem
Altered Carbon;2018;18+;8;83;Tem;Não tem;Não tem;Não tem
Ash vs Evil Dead;2015;18+;8,4;83;Tem;Não tem;Não tem;Não tem
The Sinner;2017;16+;7,9;83;Tem;Não tem;Não tem;Não tem
Our Planet;2019;0;9,3;82;Tem;Não tem;Não tem;Não tem
Narcos: Mexico;2018;18+;8,4;82;Tem;Não tem;Não tem;Não tem
Shadow and Bone;2021;16+;7,7;82;Tem;Não tem;Não tem;Não tem
Castlevania;2017;18+;8,3;82;Tem;Não tem;Não tem;Não tem
Star Trek;1966;7+;8,3;82;Tem;Tem;Tem;Não tem
The Kominsky Method;2018;18+;8,2;82;Tem;Não tem;Não tem;Não tem
Hunter x Hunter;2011;16+;9;82;Tem;Tem;Não tem;Não tem
Dead to Me;2019;18+;8;82;Tem;Não tem;Não tem;Não tem
The Haunting of Hill House;2018;18+;8,6;82;Tem;Não tem;Não tem;Não tem
Russian Doll;2019;18+;7,9;82;Tem;Não tem;Não tem;Não tem
Kingdom;2019;18+;8,4;82;Tem;Tem;Não tem;Não tem
Neon Genesis Evangelion;1995;16+;8,5;82;Tem;Não tem;Não tem;Não tem
Naruto;2002;7+;8,3;81;Tem;Tem;Não tem;Não tem
NCIS;2003;16+;7,7;81;Tem;Não tem;Não tem;Não tem
Manifest;2018;16+;7,2;81;Tem;Tem;Não tem;Não tem
Halt and Catch Fire;2014;16+;8,4;81;Tem;Não tem;Não tem;Não tem
Monty Python's Flying Circus;1969;16+;8,8;81;Tem;Não tem;Não tem;Não tem
After Life;2019;18+;8,4;81;Tem;Não tem;Não tem;Não tem
Riverdale;2017;16+;6,8;81;Tem;Tem;Não tem;Não tem
Big Mouth;2017;18+;7,9;81;Tem;Não tem;Não tem;Não tem
I Think You Should Leave with Tim Robinson;2019;18+;7,8;81;Tem;Não tem;Não tem;Não tem
Derry Girls;2018;16+;8,4;81;Tem;Não tem;Não tem;Não tem
The Promised Neverland;2019;18+;8,5;81;Tem;Tem;Não tem;Não tem
Lost in Space;2018;7+;7,3;80;Tem;Tem;Não tem;Não tem
Star Trek: Deep Space Nine;1993;7+;8;80;Tem;Tem;Tem;Não tem
Jane the Virgin;2014;16+;7,8;80;Tem;Não tem;Não tem;Não tem
Godless;2017;18+;8,3;80;Tem;Não tem;Não tem;Não tem
The OA;2016;18+;7,8;80;Tem;Não tem;Não tem;Não tem
DC's Legends of Tomorrow;2016;16+;6,8;80;Tem;Não tem;Não tem;Não tem
Sacred Games;2018;18+;8,6;80;Tem;Não tem;Não tem;Não tem
iZombie;2015;16+;7,8;80;Tem;Não tem;Não tem;Não tem
