Title;Year;Rotten Tomatoes;Hulu
Breaking Bad;2008;100;Não tem
Stranger Things;2016;96;Não tem
Attack on Titan;2013;95;Tem
Better Call Saul;2015;94;Não tem
Dark;2017;93;Não tem
Avatar: The Last Airbender;2005;93;Não tem
Peaky Blinders;2013;93;Não tem
The Walking Dead;2010;93;Não tem
Black Mirror;2011;92;Não tem
The Queen's Gambit;2020;92;Não tem
Mindhunter;2017;90;Não tem
Community;2009;90;Tem
Narcos;2015;90;Não tem
Shameless;2011;90;Tem
Money Heist;2017;90;Não tem
Marvel's Daredevil;2015;90;Não tem
Lucifer;2016;90;Não tem
Supernatural;2005;89;Não tem
The Witcher;2019;89;Não tem
Ozark;2017;89;Não tem
The Crown;2016;89;Não tem
Cobra Kai;2018;89;Não tem
The Blacklist;2013;88;Não tem
The Flash;2014;88;Não tem
Outlander;2014;88;Não tem
Fullmetal Alchemist: Brotherhood;2009;88;Tem
The Good Place;2016;88;Não tem
House of Cards;2013;88;Não tem
Atypical;2017;88;Não tem
Grey's Anatomy;2005;87;Tem
Arrested Development;2003;87;Tem
Lupin;2021;87;Não tem
The Umbrella Academy;2019;87;Não tem
Orange Is the New Black;2013;87;Não tem
The Vampire Diaries;2009;86;Não tem
Demon Slayer: Kimetsu no Yaiba;2019;86;Tem
The Last Dance;2020;86;Não tem
American Horror Story;2011;86;Tem
Elite;2018;86;Não tem
BoJack Horseman;2014;86;Não tem
Star Trek: The Next Generation;1987;86;Tem
Broadchurch;2013;86;Não tem
The IT Crowd;2006;86;Não tem
When They See Us;2019;86;Não tem
Love, Death & Robots;2019;86;Não tem
Schitt's Creek;2015;86;Não tem
Marvel's Agents of S.H.I.E.L.D.;2013;86;Não tem
Never Have I Ever;2020;86;Não tem
The 100;2014;86;Não tem
American Crime Story;2016;85;Não tem
The Last Kingdom;2015;85;Não tem
The End of the F***ing World;2017;85;Não tem
New Girl;2011;85;Não tem
Penny Dreadful;2014;85;Não tem
One Piece;1999;85;Tem
Marvel's The Punisher;2017;85;Não tem
Evil;2019;85;Não tem
YOU;2018;85;Não tem
Sense8;2015;84;Não tem
Making a Murderer;2015;84;Não tem
Unbelievable;2019;84;Não tem
Arrow;2012;84;Não tem
Sex Education;2019;84;Não tem
Marvel's Jessica Jones;2015;84;Não tem
Sweet Tooth;2021;84;Não tem
Good Girls;2018;84;Tem
Death Note;2006;84;Tem
Gilmore Girls;2000;84;Não tem
The Legend of Korra;2012;83;Não tem
How to Get Away with Murder;2014;83;Tem
Master of None;2015;83;Não tem
Chappelle's Show;2003;83;Não tem
One-Punch Man;2015;83;Tem
Downton Abbey;2010;83;Não tem
Gotham;2014;83;Não tem
Pose;2018;83;Não tem
